"","Richness","Normalized.Richness","Effective.Richness","Shannon.Index","Shannon.Effective","Simpson.Index","Simpson.Effective","Evenness","original_sample_id","Age","Genotype","Phenotype","Genotype_Age","Age_Phenotype","Tumor_No","ATF6_expression","GRP78_expression","Faiths.PD"
"D29613_01-AV555",386,216,82,4.81419399944887,123.25,0.0154139815510174,64.88,0.560281416429347,"01-AV555","20wk","tg/tg","T","20wk_tg/tg","20wk_T",NA,NA,NA,13.9449555807395
"D29614_02-AV604",423,229,89,4.91877313975864,136.83,0.014220114147035,70.32,0.563787647377012,"02-AV604","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,14.7367632511014
"D29615_03-AV612",357,183,81,4.52194940030524,92.01,0.0239462509341445,41.76,0.533262568074692,"03-AV612","20wk","tg/tg","T","20wk_tg/tg","20wk_T",NA,NA,NA,13.2354931339683
"D29616_04-AV650",445,242,84,4.9370045925979,139.35,0.0179051640548684,55.85,0.561172372691253,"04-AV650","20wk","tg/tg","T","20wk_tg/tg","20wk_T",NA,NA,NA,15.2066247102683
"D29617_05-AV717",380,221,78,4.76861408503945,117.76,0.0161060312133731,62.09,0.55644042361738,"05-AV717","20wk","tg/tg","T","20wk_tg/tg","20wk_T",9,NA,NA,14.0163019903033
"D29618_06-AV718",346,190,82,4.4751767636618,87.81,0.028732164227402,34.8,0.530571904639322,"06-AV718","20wk","tg/tg","T","20wk_tg/tg","20wk_T",8,NA,NA,13.3831818533553
"D29619_07-AV770",468,272,83,4.99622268719062,147.85,0.0154627750509621,64.67,0.563248845468585,"07-AV770","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,15.3994410894733
"D29620_08-AV782.2",348,251,81,4.84072137627388,126.56,0.0186174365424267,53.71,0.57334522949893,"08-AV782.2","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,12.2834410381033
"D29621_09-AV791",479,256,96,5.04355439526227,155.02,0.013796824252083,72.48,0.566444443293852,"09-AV791","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,14.9480403785069
"D29622_10-AV794",445,244,88,4.99076444638766,147.05,0.0141388906490546,70.73,0.567283070816177,"10-AV794","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,14.415206159584
"D29623_11-AV833",483,249,92,5.07322674419072,159.69,0.0123862162211609,80.73,0.569010248863773,"11-AV833","12wk","tg/tg","T","12wk_tg/tg","12wk_T",5,NA,NA,15.4795131086497
"D29624_12-AV967",375,220,84,4.71380609045785,111.48,0.0192357191943261,51.99,0.551274199642503,"12-AV967","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.120869837,23.50217257,12.9264598750137
"D29625_13-AV968",405,229,87,4.8366580996972,126.05,0.0178772832971866,55.94,0.55839090370386,"13-AV968","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.497392279,27.88444959,13.8487419237299
"D29626_14-AV971",392,225,89,4.81666838432148,123.55,0.0172752313467801,57.89,0.559121371639904,"14-AV971","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,4.530663119,23.61102698,13.7380013067163
"D29627_15-AV972",480,210,79,4.83430099209624,125.75,0.015950361912879,62.69,0.542759669067875,"15-AV972","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.602051975,23.72038557,15.3388902886653
"D29628_16-AV974",439,220,83,4.7906845732843,120.38,0.0160983790601735,62.12,0.545755579791525,"16-AV974","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.992074477,23.4479337,14.2686891427099
"D29629_17-AV996",430,216,88,4.72784943490558,113.05,0.0204734622726794,48.84,0.54043726700966,"17-AV996","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,NA,NA,13.8655247243262
"D29630_18-AV551",494,242,93,4.94741600404832,140.81,0.015870683630464,63.01,0.552884775066633,"18-AV551","20wk","tg/tg","T","20wk_tg/tg","20wk_T",NA,NA,NA,15.5114900305095
"D29631_19-AV572",491,264,85,5.01759769561746,151.05,0.0134799373258344,74.18,0.561278956797309,"19-AV572","20wk","fl/fl","NT","20wk_fl/fl","20wk_NT",0,NA,NA,15.3433702850633
"D29632_20-AV580",520,268,88,5.05722475409519,157.15,0.0141656017305809,70.59,0.560520792201851,"20-AV580","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,15.7856038932525
"D29633_21-AV586",460,288,91,5.20250228698992,181.73,0.0102291998556535,97.76,0.588153087847799,"21-AV586","20wk","fl/fl","NT","20wk_fl/fl","20wk_NT",0,NA,NA,13.6894266584163
"D29634_22-AV589",539,271,81,5.04684954019082,155.53,0.0154107938712264,64.89,0.556179288245296,"22-AV589","20wk","fl/fl","NT","20wk_fl/fl","20wk_NT",0,NA,NA,15.502816448546
"D29635_23-AV590",474,260,77,5.03684296652954,153.98,0.013549152418823,73.81,0.566654118078374,"23-AV590","20wk","fl/fl","NT","20wk_fl/fl","20wk_NT",0,NA,NA,14.6919993612733
"D29636_24-AV591",478,261,83,4.97544327977497,144.81,0.0183393211822499,54.53,0.558984128974254,"24-AV591","20wk","fl/fl","NT","20wk_fl/fl","20wk_NT",0,NA,NA,14.612517135426
"D29637_25-AV598",492,270,85,5.07800474148423,160.45,0.0140119437723203,71.37,0.567849762888542,"25-AV598","20wk","fl/fl","NT","20wk_fl/fl","20wk_NT",0,NA,NA,14.8168473724033
"D29638_26-AV608",439,247,85,5.01287122725337,150.34,0.0141909137962242,70.47,0.57106712019956,"26-AV608","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,14.2267566365003
"D29639_27-AV609",475,256,83,5.11836429737909,167.06,0.0106339138795034,94.04,0.575628520465083,"27-AV609","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,14.9080732416315
"D29640_28-AV610",497,276,87,5.16646143342942,175.29,0.0106563693395227,93.84,0.576800555520778,"28-AV610","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,15.2985806184444
"D29641_29-AV611",471,284,90,5.16732780315878,175.45,0.0106618674168726,93.79,0.581933595068678,"29-AV611","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,14.7921360820133
"D29642_30-AV802",482,300,94,5.23785632021471,188.27,0.0107968223616655,92.62,0.587672091801182,"30-AV802","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,15.198866357249
"D29643_31-AV521",453,285,102,5.21338570992612,183.72,0.0099771845037721,100.23,0.590861240169666,"31-AV521","20wk","tg/wt","NT","20wk_tg/wt","20wk_NT",0,NA,NA,14.7520983240433
"D29644_32-AV527",519,286,83,5.23308909343108,187.37,0.0101596013862888,98.43,0.580191413450511,"32-AV527","20wk","tg/wt","NT","20wk_tg/wt","20wk_NT",0,NA,NA,15.6985081307863
"D29645_33-AV541",473,278,80,4.99687579135168,147.95,0.0163470552239793,61.17,0.562350499207275,"33-AV541","20wk","tg/wt","NT","20wk_tg/wt","20wk_NT",0,NA,NA,15.4254437666663
"D29646_34-AV542",537,293,99,5.25151068077913,190.85,0.011716584090985,85.35,0.579075871060521,"34-AV542","20wk","tg/wt","NT","20wk_tg/wt","20wk_NT",0,NA,NA,16.0477242814363
"D29647_35-AV543",434,270,93,5.06333189876813,158.12,0.0140227104450478,71.31,0.577903588581249,"35-AV543","20wk","tg/wt","NT","20wk_tg/wt","20wk_NT",0,NA,NA,14.7619731093495
"D29648_36-AV567",477,288,86,5.20989493704812,183.07,0.00979627776093739,102.08,0.585523199161855,"36-AV567","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,15.0271091959863
"D29649_37-AV568",489,263,83,5.06431052649754,158.27,0.0123412797874907,81.03,0.566877757703669,"37-AV568","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,15.4827682591763
"D29650_38-AV570",443,274,91,5.07933257432285,160.67,0.0120432556717312,83.03,0.577777097150083,"38-AV570","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,15.0445343992163
"D29651_39-AV571",571,289,105,5.34395145007145,209.34,0.00885519355559946,112.93,0.583569836088088,"39-AV571","20wk","tg/wt","NT","20wk_tg/wt","20wk_NT",0,NA,NA,17.3266223402563
"D29652_40-AV579",522,262,85,5.02284395373352,151.84,0.0173271185958281,57.71,0.556368659093474,"40-AV579","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,16.1667103166156
"D29653_41-AV803",555,315,97,5.31147119493277,202.65,0.0113909514901942,87.79,0.582631723585359,"41-AV803","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,16.5158651639128
"D29654_42-AV814",547,269,93,5.07986174944646,160.75,0.0145018844018131,68.96,0.55850907186532,"42-AV814","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,16.541508556787
"D29655_43-AV583",422,223,90,4.81439715033479,123.27,0.0158314981118717,63.17,0.552040178211581,"43-AV583","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.178077903,23.61102698,13.6319922056231
"D29656_44-AV584",488,237,91,5.0468156023486,155.53,0.0119728660657219,83.52,0.565106262964602,"44-AV584","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.776092338,20.60213894,15.913288491231
"D29657_45-AV587",515,259,104,5.2401970978568,188.71,0.00929209061000767,107.62,0.581699352650512,"45-AV587","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.405586854,17.93520366,16.4900780367356
"D29658_46-AV588",531,274,91,5.24046095244711,188.76,0.00895975620097041,111.61,0.578892190927148,"46-AV588","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.744206198,20.93805541,16.1754603705345
"D29659_47-AV596",470,260,94,5.10088780764551,164.17,0.012771177093861,78.3,0.574649700817552,"47-AV596","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,NA,NA,14.9322190117348
"D29660_48-AV597",454,260,99,5.16778805141943,175.53,0.00983284451904475,101.7,0.585482316089962,"48-AV597","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,NA,NA,14.9792954899933
"D29661_49-AV816",392,232,84,4.71009336543439,111.06,0.0279914090928573,35.73,0.546750088008117,"49-AV816","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,13.112464771491
"D29662_50-AV817",410,192,79,4.62270759256899,101.77,0.0231720107293157,43.16,0.532601900064543,"50-AV817","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.425372628,25.42287977,13.8832575056881
"D29663_51-AV863",430,248,82,4.89511437094089,133.64,0.0169446312849324,59.02,0.559557208569152,"51-AV863","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,13.820446718051
"D29664_52-AV864",482,260,93,5.01331668449119,150.4,0.0148419382573008,67.38,0.562479404306365,"52-AV864","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,14.7958581436661
"D29665_53-AV865",484,272,110,5.2730522890858,195.01,0.00868542131714289,115.14,0.59122470530192,"53-AV865","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,15.2547018991095
"D29666_54-AV866",449,266,94,5.11967981412188,167.28,0.011427293938266,87.51,0.581083728317282,"54-AV866","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,14.045510292311
