Tissue_Number,x,y,z,radius,K06994_K06994; putative drug exporter of the RND superfamily
1,150,110,0,50,392.8333333
2,150,230,0,50,770.1666667
3,150,350,0,50,900.6666667
4,160,470,0,50,797.3333333
5,170,590,0,50,765.1666667
6,180,710,0,50,1249.2
7,185,830,0,50,1016.666667
8,170,950,0,50,831.3333333
9,185,1070,0,50,1270.666667
10,210,1190,0,50,565.5
11,200,1310,0,50,645.6666667
12,180,1430,0,50,515
13,175,1550,0,50,912.1666667
14,175,1670,0,50,1499.166667
15,175,1790,0,50,1634.166667
16,175,1910,0,50,1298
17,180,2030,0,40,82
