Proben-ID,MouseID,Phenotype,Tumor_No,Genotype,Mouse_Line,Status,FA10:0,FA12:0,FA14:0,FA15:0,FA16:0,FA16:1-c9 (n-7),FA17:0,FA18:0,FA18:1-c9 (n-9),FA18:1-c11 (n-7),"FA18:2-c9,c12 (n-6)","FA18:3-c6,c9,c12 (n-6)","FA18:3-c9,c12,c15 (n-3)",FA20:0,"FA20:4-c5,c8,c11,c14 (n-6)","FA20:5-c5,c8,c11,c14,c17 (n-3)",FA22:0,"FA22:4-c7,c10,c13,c16 (n-6)",FA24:1-c15 (n-9),"FA22:5-c7,c10,c13,c16,c19 (n-3)","FA22:6-c4,c7,c10,c13,c16,c19 (n-3)",SAFA,MUFA,PUFA
FAME AV871 1 A,AV871,NT,0.0,fl/fl,AV,AV_Ctrl,0.33,0.41,0.6,0.29,20.27,1.3,0.51,15.21,17.18,3.15,20.72,0.09,0.59,0.35,13.01,0.34,0.36,2.06,0.36,0.48,2.38,38.3389,21.9879,39.6732
FAME AV874 1 A,AV874,NT,0.0,fl/fl,AV,AV_Ctrl,0.14,0.22,0.49,0.2,16.66,1.27,0.46,11.36,24.24,2.87,27.57,0.08,0.88,0.28,9.16,0.27,0.25,1.4,0.24,0.34,1.61,30.061,28.6173,41.3217
FAME AV9 1 A,AV9,T,4.0,tg/tg,AV,AV_R,0.33,0.45,0.79,0.27,20.22,3.08,0.45,15.67,20.36,3.73,18.16,0.12,0.5,0.56,9.89,0.16,0.61,1.21,0.35,0.29,2.78,39.3629,27.5219,33.1152
FAME AV30 1 A,AV30,T,3.0,tg/tg,AV,AV_R,0.38,0.54,0.8,0.48,20.86,2.58,0.66,14.67,21.85,4.29,15.9,0.12,0.47,0.4,10.46,0.21,0.51,1.61,0.35,0.31,2.56,39.2858,29.0659,31.6483
FAME 65 (AV31_1) A,AV31,T,3.0,tg/tg,AV,AV_R,0.24,0.53,1.2,0.51,24.76,2.76,0.49,15.29,17.65,3.47,15.62,0.1,0.38,0.47,10.66,0.16,0.52,1.61,0.39,0.31,2.89,44.0097,24.2624,31.7279
FAME 66 (AV987_1) A,AV987,T,6.0,tg/tg,AV,AV_R,0.25,0.52,0.9,0.46,24.09,1.75,0.63,16.69,14.79,3.09,17.3,0.12,0.27,0.48,11.92,0.2,0.58,1.63,0.64,0.46,3.22,44.6153,20.2762,35.1085
FAME 67 (AV997_1) A,AV997,T,3.0,tg/tg,AV,AV_R,0.17,0.44,0.65,0.36,21.27,2.61,0.4,17.37,16.73,4.34,12.17,0.18,0.15,0.59,14.8,0.34,0.77,1.85,0.44,0.5,3.87,42.0198,24.1115,33.8688
FAME 68 ( AV67) A,AV67,NT,0.0,tg/wt,AV,AV_het,0.38,0.71,0.93,0.38,23.59,2.12,0.43,14.12,20.66,3.05,15.25,0.08,0.56,0.33,11.65,0.25,0.36,1.89,0.36,0.37,2.55,41.2225,26.182,32.5955
FAME 69 (AV70) A,AV70,NT,0.0,tg/wt,AV,AV_het,0.21,0.42,1.26,0.41,25.82,2.76,0.38,12.51,20.05,2.32,17.08,0.06,0.67,0.32,10.33,0.21,0.39,1.84,0.35,0.41,2.21,41.7047,25.486,32.8093
FAME 70 (AV87) A,AV87,NT,0.0,tg/wt,AV,AV_het,0.14,0.26,0.8,0.33,22.83,3.98,0.3,7.33,23.77,3.25,25.43,0.07,1.22,0.19,6.56,0.16,0.21,0.99,0.17,0.3,1.71,32.3937,31.1643,36.442
FAME 71 (AV873_1) A,AV873,NT,0.0,fl/fl,AV,AV_Ctrl,0.1,0.23,0.76,0.28,21.68,2.18,0.42,8.67,24.41,2.5,28.64,0.08,1.01,0.22,6.02,0.19,0.19,0.92,0.18,0.25,1.07,32.5471,29.2757,38.1772
FAME 72 (AV888_1) A,AV888,NT,0.0,fl/fl,AV,AV_Ctrl,0.12,0.28,0.95,0.37,23.62,2.2,0.48,8.78,22.82,2.23,27.55,0.1,1.29,0.23,5.88,0.18,0.22,1.0,0.2,0.29,1.22,35.045,27.4548,37.5002
FAME 73 (AV890_1) A,AV890,NT,0.0,fl/fl,AV,AV_Ctrl,0.06,0.14,0.74,0.27,21.13,2.9,0.38,6.19,25.98,2.0,32.58,0.09,1.64,0.19,3.71,0.1,0.13,0.62,0.12,0.19,0.85,29.2313,30.995,39.7736
FAME 74 (AV891_1) A,AV891,NT,0.0,fl/fl,AV,AV_Ctrl,0.14,0.26,0.84,0.34,22.89,1.99,0.47,8.6,22.87,2.18,29.01,0.09,1.29,0.23,5.89,0.14,0.2,0.96,0.21,0.27,1.14,33.9684,27.248,38.7836
